mutation distance,stability,morality,cycle length,generation count,seed
2,0.001,0.2378,0,1000,19561847
2,0.001,0.2392,0,1000,19561848
2,0.001,0.2402,0,1000,19561849
2,0.001,0.2312,0,1000,19561850
2,0.001,0.2315,0,1000,19561851
2,0.001,0.2179,0,1000,19561852
2,0.001,0.2311,0,1000,19561853
2,0.001,0.2463,0,1000,19561854
2,0.001,0.2399,0,1000,19561855
2,0.001,0.246,0,1000,19561856
2,0.001,0.2414,0,1000,19561857
2,0.001,0.2428,0,1000,19561858
2,0.001,0.2365,0,1000,19561859
2,0.001,0.2437,0,1000,19561860
2,0.001,0.2324,0,1000,19561861
2,0.001,0.2415,0,1000,19561862
2,0.001,0.2241,0,1000,19561863
2,0.001,0.2238,0,1000,19561864
2,0.001,0.2342,0,1000,19561865
2,0.001,0.2408,0,1000,19561866
2,0.001,0.2226,0,1000,19561867
2,0.001,0.235,0,1000,19561868
2,0.001,0.2356,0,1000,19561869
2,0.001,0.2407,0,1000,19561870
2,0.001,0.2362,0,1000,19561871
2,0.001,0.2321,0,1000,19561872
2,0.001,0.2364,0,1000,19561873
2,0.001,0.2341,0,1000,19561874
2,0.001,0.243,0,1000,19561875
2,0.001,0.2407,0,1000,19561876
2,0.001,0.2271,0,1000,19561877
2,0.001,0.2354,0,1000,19561878
2,0.001,0.2274,0,1000,19561879
2,0.001,0.2412,0,1000,19561880
2,0.001,0.2316,0,1000,19561881
2,0.001,0.2337,0,1000,19561882
2,0.001,0.2361,0,1000,19561883
2,0.001,0.234,0,1000,19561884
2,0.001,0.2357,0,1000,19561885
2,0.001,0.2243,0,1000,19561886
2,0.001,0.2337,0,1000,19561887
2,0.001,0.2299,0,1000,19561888
2,0.001,0.2318,0,1000,19561889
2,0.001,0.2296,0,1000,19561890
2,0.001,0.2227,0,1000,19561891
2,0.001,0.238,0,1000,19561892
2,0.001,0.2307,0,1000,19561893
2,0.001,0.2343,0,1000,19561894
2,0.001,0.2441,0,1000,19561895
2,0.001,0.2271,0,1000,19561896
2,0.001,0.2298,0,1000,19561897
2,0.001,0.2364,0,1000,19561898
2,0.001,0.2323,0,1000,19561899
2,0.001,0.2348,0,1000,19561900
2,0.001,0.2385,0,1000,19561901
2,0.001,0.2368,0,1000,19561902
2,0.001,0.2337,0,1000,19561903
2,0.001,0.2267,0,1000,19561904
2,0.001,0.2478,0,1000,19561905
2,0.001,0.2223,0,1000,19561906
2,0.001,0.2374,0,1000,19561907
2,0.001,0.223,0,1000,19561908
2,0.001,0.244,0,1000,19561909
2,0.001,0.2327,0,1000,19561910
2,0.001,0.2409,0,1000,19561911
2,0.001,0.228,0,1000,19561912
2,0.001,0.2322,0,1000,19561913
2,0.001,0.2306,0,1000,19561914
2,0.001,0.2343,0,1000,19561915
2,0.001,0.2368,0,1000,19561916
2,0.001,0.2328,0,1000,19561917
2,0.001,0.2383,0,1000,19561918
2,0.001,0.233,0,1000,19561919
2,0.001,0.2421,0,1000,19561920
2,0.001,0.23,0,1000,19561921
2,0.001,0.227,0,1000,19561922
2,0.001,0.238,0,1000,19561923
2,0.001,0.2279,0,1000,19561924
2,0.001,0.2335,0,1000,19561925
2,0.001,0.2281,0,1000,19561926
2,0.001,0.226,0,1000,19561927
2,0.001,0.23,0,1000,19561928
2,0.001,0.2295,0,1000,19561929
2,0.001,0.227,0,1000,19561930
