beta,stability,morality,cycle length,generation count,seed
0.125,1.0,0.834,1,11,19561839
0.125,0.25,0.709,4,13,19561840
0.125,0.5,0.745,2,15,19561841
0.125,0.5,0.696,2,14,19561842
0.125,0.5,0.7665,2,18,19561843
0.125,0.5,0.434,2,15,19561844
0.125,0.5,0.853,2,11,19561845
0.125,1.0,0.815,1,11,19561846
0.125,1.0,0.858,1,12,19561847
0.125,0.5,0.813,2,17,19561848
0.125,1.0,0.747,1,11,19561849
0.125,1.0,0.823,1,15,19561850
0.125,0.5,0.801,2,18,19561851
0.125,0.5,0.83,2,13,19561852
0.125,0.25,0.5895,4,24,19561853
0.125,0.5,0.5965,2,11,19561854
0.125,0.5,0.809,2,20,19561855
0.125,1.0,0.87,1,10,19561856
0.125,0.5,0.875,2,11,19561857
0.125,0.5,0.574,2,17,19561858
0.125,0.5,0.553,2,22,19561859
0.125,0.5,0.6625,2,22,19561860
0.125,1.0,0.818,1,10,19561861
0.125,0.5,0.798,2,13,19561862
0.125,0.5,0.772,2,27,19561863
0.125,0.5,0.742,2,17,19561864
0.125,1.0,0.773,1,19,19561865
0.125,0.5,0.666,2,12,19561866
0.125,1.0,0.835,1,16,19561867
0.125,0.5,0.794,2,19,19561868
0.125,0.5,0.816,2,11,19561869
0.125,0.5,0.806,2,17,19561870
0.125,0.25,0.671,4,15,19561871
0.125,0.5,0.754,2,15,19561872
0.125,0.5,0.852,2,11,19561873
0.125,0.5,0.7745,2,24,19561874
0.125,0.5,0.572,2,19,19561875
0.125,0.5,0.693,2,14,19561876
0.125,0.5,0.6015,2,19,19561877
0.125,0.5,0.8045,2,21,19561878
0.125,0.0833,0.522,12,33,19561879
0.125,1.0,0.819,1,9,19561880
0.125,0.5,0.792,2,19,19561881
0.125,1.0,0.802,1,10,19561882
0.125,0.5,0.6215,2,18,19561883
0.125,0.25,0.75,4,17,19561884
0.125,1.0,0.878,1,15,19561885
0.125,0.5,0.6935,2,14,19561886
0.125,1.0,0.793,1,17,19561887
0.125,0.25,0.695,4,17,19561888
0.125,0.1667,0.5235,6,21,19561889
0.125,0.5,0.716,2,17,19561890
0.125,0.1667,0.5625,6,17,19561891
0.125,1.0,0.89,1,12,19561892
0.125,1.0,0.804,1,8,19561893
0.125,1.0,0.838,1,16,19561894
0.125,0.5,0.683,2,18,19561895
0.125,0.5,0.837,2,12,19561896
0.125,0.5,0.5995,2,14,19561897
0.125,0.5,0.74,2,17,19561898
0.125,0.5,0.7195,2,17,19561899
0.125,0.5,0.8175,2,9,19561900
0.125,0.5,0.837,2,11,19561901
0.125,1.0,0.808,1,14,19561902
0.125,1.0,0.861,1,15,19561903
0.125,1.0,0.837,1,9,19561904
0.125,0.5,0.7785,2,12,19561905
0.125,0.5,0.811,2,18,19561906
0.125,1.0,0.73,1,10,19561907
0.125,0.5,0.823,2,13,19561908
0.125,0.5,0.803,2,16,19561909
0.125,0.5,0.796,2,11,19561910
0.125,0.5,0.7815,2,15,19561911
0.125,0.1667,0.589,6,25,19561912
0.125,0.5,0.786,2,12,19561913
0.125,0.5,0.764,2,12,19561914
0.125,1.0,0.862,1,10,19561915
0.125,0.5,0.82,2,11,19561916
