mutation probability,stability,morality,cycle length,generation count,seed
0.001,0.001,0.9337,0,1000,19561916
0.001,0.001,0.8951,0,1000,19561917
0.001,0.001,0.8638,0,1000,19561918
0.001,0.001,0.8685,0,1000,19561919
0.001,0.001,0.8687,0,1000,19561920
0.001,0.001,0.901,0,1000,19561921
0.001,0.001,0.8705,0,1000,19561922
0.001,0.001,0.8306,0,1000,19561923
0.001,0.001,0.7923,0,1000,19561924
0.001,0.001,0.9258,0,1000,19561925
0.001,0.001,0.8655,0,1000,19561926
0.001,0.001,0.9251,0,1000,19561927
0.001,0.001,0.887,0,1000,19561928
0.001,0.001,0.892,0,1000,19561929
0.001,0.001,0.8668,0,1000,19561930
0.01,0.001,0.9269,0,1000,19561831
0.01,0.001,0.9452,0,1000,19561832
0.01,0.001,0.9162,0,1000,19561833
0.01,0.001,0.9284,0,1000,19561834
0.01,0.001,0.9192,0,1000,19561835
0.01,0.001,0.9197,0,1000,19561836
0.01,0.001,0.9423,0,1000,19561837
0.01,0.001,0.9257,0,1000,19561838
0.01,0.001,0.9246,0,1000,19561839
0.01,0.001,0.92,0,1000,19561840
0.01,0.001,0.9167,0,1000,19561841
0.01,0.001,0.9361,0,1000,19561842
0.01,0.001,0.9164,0,1000,19561843
0.01,0.001,0.9205,0,1000,19561844
0.01,0.001,0.9458,0,1000,19561845
0.01,0.001,0.9365,0,1000,19561846
0.01,0.001,0.9352,0,1000,19561847
0.01,0.001,0.9398,0,1000,19561848
0.01,0.001,0.9282,0,1000,19561849
0.01,0.001,0.9367,0,1000,19561850
0.01,0.001,0.9141,0,1000,19561851
0.01,0.001,0.9316,0,1000,19561852
0.01,0.001,0.9223,0,1000,19561853
0.01,0.001,0.9066,0,1000,19561854
0.01,0.001,0.932,0,1000,19561855
0.01,0.001,0.9414,0,1000,19561856
0.01,0.001,0.932,0,1000,19561857
0.01,0.001,0.919,0,1000,19561858
0.01,0.001,0.9301,0,1000,19561859
0.01,0.001,0.9065,0,1000,19561860
0.01,0.001,0.9383,0,1000,19561861
0.01,0.001,0.9243,0,1000,19561862
0.01,0.001,0.9177,0,1000,19561863
0.01,0.001,0.9282,0,1000,19561864
0.01,0.001,0.9301,0,1000,19561865
0.01,0.001,0.9366,0,1000,19561866
0.01,0.001,0.9351,0,1000,19561867
0.01,0.001,0.9414,0,1000,19561868
0.01,0.001,0.944,0,1000,19561869
0.01,0.001,0.9417,0,1000,19561870
0.01,0.001,0.9192,0,1000,19561871
0.01,0.001,0.9324,0,1000,19561872
0.01,0.001,0.9365,0,1000,19561873
0.01,0.001,0.9133,0,1000,19561874
0.01,0.001,0.9273,0,1000,19561875
0.01,0.001,0.9272,0,1000,19561876
0.01,0.001,0.9246,0,1000,19561877
0.01,0.001,0.9285,0,1000,19561878
0.01,0.001,0.9278,0,1000,19561879
0.01,0.001,0.9373,0,1000,19561880
0.01,0.001,0.9259,0,1000,19561881
0.01,0.001,0.9292,0,1000,19561882
0.01,0.001,0.904,0,1000,19561883
0.01,0.001,0.9294,0,1000,19561884
0.01,0.001,0.9279,0,1000,19561885
0.01,0.001,0.9186,0,1000,19561886
0.01,0.001,0.9395,0,1000,19561887
0.01,0.001,0.9403,0,1000,19561888
0.01,0.001,0.9267,0,1000,19561889
0.01,0.001,0.9211,0,1000,19561890
0.01,0.001,0.9204,0,1000,19561891
0.01,0.001,0.9237,0,1000,19561892
0.01,0.001,0.935,0,1000,19561893
0.01,0.001,0.9391,0,1000,19561894
0.01,0.001,0.936,0,1000,19561895
0.01,0.001,0.9303,0,1000,19561896
0.01,0.001,0.9305,0,1000,19561897
0.01,0.001,0.9297,0,1000,19561898
0.01,0.001,0.9253,0,1000,19561899
0.01,0.001,0.9414,0,1000,19561900
0.01,0.001,0.92,0,1000,19561901
0.01,0.001,0.9466,0,1000,19561902
0.01,0.001,0.9291,0,1000,19561903
0.01,0.001,0.9203,0,1000,19561904
0.01,0.001,0.9388,0,1000,19561905
0.01,0.001,0.924,0,1000,19561906
0.01,0.001,0.9393,0,1000,19561907
0.01,0.001,0.9246,0,1000,19561908
0.01,0.001,0.9273,0,1000,19561909
0.01,0.001,0.9257,0,1000,19561910
0.01,0.001,0.9325,0,1000,19561911
0.01,0.001,0.9158,0,1000,19561912
0.01,0.001,0.9291,0,1000,19561913
0.01,0.001,0.9421,0,1000,19561914
0.01,0.001,0.9211,0,1000,19561915
0.01,0.001,0.9236,0,1000,19561916
0.01,0.001,0.9359,0,1000,19561917
0.01,0.001,0.9436,0,1000,19561918
0.01,0.001,0.9348,0,1000,19561919
0.01,0.001,0.9358,0,1000,19561920
0.01,0.001,0.9286,0,1000,19561921
0.01,0.001,0.9213,0,1000,19561922
0.01,0.001,0.9385,0,1000,19561923
0.01,0.001,0.9205,0,1000,19561924
