mutation distance,stability,morality,cycle length,generation count,seed
1,0.001,0.8529,0,1000,19561888
1,0.001,0.8673,0,1000,19561889
1,0.001,0.8552,0,1000,19561890
1,0.001,0.8634,0,1000,19561891
1,0.001,0.8394,0,1000,19561892
1,0.001,0.8637,0,1000,19561893
1,0.001,0.8549,0,1000,19561894
1,0.001,0.8505,0,1000,19561895
1,0.001,0.8372,0,1000,19561896
1,0.001,0.8643,0,1000,19561897
1,0.001,0.865,0,1000,19561898
1,0.001,0.861,0,1000,19561899
1,0.001,0.8584,0,1000,19561900
1,0.001,0.8516,0,1000,19561901
1,0.001,0.8415,0,1000,19561902
1,0.001,0.8629,0,1000,19561903
1,0.001,0.8788,0,1000,19561904
1,0.001,0.8358,0,1000,19561905
1,0.001,0.8635,0,1000,19561906
1,0.001,0.8482,0,1000,19561907
1,0.001,0.8517,0,1000,19561908
1,0.001,0.8436,0,1000,19561909
1,0.001,0.8259,0,1000,19561910
1,0.001,0.8619,0,1000,19561911
1,0.001,0.8459,0,1000,19561912
1,0.001,0.8329,0,1000,19561913
1,0.001,0.8425,0,1000,19561914
1,0.001,0.8563,0,1000,19561915
1,0.001,0.8504,0,1000,19561916
1,0.001,0.8511,0,1000,19561917
1,0.001,0.8379,0,1000,19561918
1,0.001,0.8597,0,1000,19561919
1,0.001,0.8372,0,1000,19561920
1,0.001,0.8642,0,1000,19561921
1,0.001,0.8667,0,1000,19561922
1,0.001,0.8394,0,1000,19561923
1,0.001,0.8507,0,1000,19561924
1,0.001,0.8678,0,1000,19561925
1,0.001,0.8509,0,1000,19561926
1,0.001,0.8554,0,1000,19561927
1,0.001,0.8377,0,1000,19561928
1,0.001,0.8509,0,1000,19561929
1,0.001,0.8505,0,1000,19561930
2,0.001,0.383,0,1000,19561831
2,0.001,0.4007,0,1000,19561832
2,0.001,0.3911,0,1000,19561833
2,0.001,0.3801,0,1000,19561834
2,0.001,0.3859,0,1000,19561835
2,0.001,0.3882,0,1000,19561836
2,0.001,0.392,0,1000,19561837
2,0.001,0.3889,0,1000,19561838
2,0.001,0.3897,0,1000,19561839
2,0.001,0.3816,0,1000,19561840
2,0.001,0.3857,0,1000,19561841
2,0.001,0.3958,0,1000,19561842
2,0.001,0.3809,0,1000,19561843
2,0.001,0.3906,0,1000,19561844
2,0.001,0.3854,0,1000,19561845
2,0.001,0.3883,0,1000,19561846
2,0.001,0.3966,0,1000,19561847
2,0.001,0.381,0,1000,19561848
2,0.001,0.395,0,1000,19561849
2,0.001,0.3924,0,1000,19561850
2,0.001,0.3917,0,1000,19561851
2,0.001,0.3898,0,1000,19561852
2,0.001,0.3831,0,1000,19561853
2,0.001,0.3876,0,1000,19561854
2,0.001,0.39,0,1000,19561855
2,0.001,0.3875,0,1000,19561856
2,0.001,0.3912,0,1000,19561857
2,0.001,0.3869,0,1000,19561858
2,0.001,0.3909,0,1000,19561859
2,0.001,0.3868,0,1000,19561860
2,0.001,0.396,0,1000,19561861
2,0.001,0.3824,0,1000,19561862
2,0.001,0.3864,0,1000,19561863
2,0.001,0.388,0,1000,19561864
2,0.001,0.3854,0,1000,19561865
2,0.001,0.39,0,1000,19561866
2,0.001,0.391,0,1000,19561867
2,0.001,0.3926,0,1000,19561868
2,0.001,0.3856,0,1000,19561869
2,0.001,0.3856,0,1000,19561870
2,0.001,0.3913,0,1000,19561871
2,0.001,0.3968,0,1000,19561872
2,0.001,0.3946,0,1000,19561873
2,0.001,0.394,0,1000,19561874
2,0.001,0.3884,0,1000,19561875
2,0.001,0.3911,0,1000,19561876
2,0.001,0.3821,0,1000,19561877
2,0.001,0.4008,0,1000,19561878
2,0.001,0.3973,0,1000,19561879
2,0.001,0.3822,0,1000,19561880
2,0.001,0.393,0,1000,19561881
2,0.001,0.3953,0,1000,19561882
2,0.001,0.3899,0,1000,19561883
2,0.001,0.3886,0,1000,19561884
2,0.001,0.3838,0,1000,19561885
2,0.001,0.3951,0,1000,19561886
