learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,0.949,1,10,19561902
IBest,1.0,0.984,1,8,19561903
IBest,1.0,1.0,1,9,19561904
IBest,1.0,0.882,1,7,19561905
IBest,1.0,0.988,1,7,19561906
IBest,1.0,0.951,1,8,19561907
IBest,1.0,0.89,1,9,19561908
IBest,1.0,0.995,1,6,19561909
IBest,1.0,0.868,1,8,19561910
IBest,1.0,0.991,1,7,19561911
IBest,1.0,0.993,1,8,19561912
IBest,1.0,0.954,1,9,19561913
IBest,1.0,0.929,1,7,19561914
IBest,1.0,0.978,1,9,19561915
IBest,1.0,0.944,1,9,19561916
IBest,1.0,0.921,1,8,19561917
IBest,1.0,0.965,1,8,19561918
IBest,1.0,0.958,1,10,19561919
IBest,1.0,0.979,1,6,19561920
IBest,1.0,0.969,1,9,19561921
IBest,1.0,0.99,1,7,19561922
IBest,1.0,0.965,1,8,19561923
IBest,1.0,0.968,1,7,19561924
IBest,1.0,0.902,1,13,19561925
IBest,1.0,0.955,1,9,19561926
IBest,1.0,0.941,1,9,19561927
IBest,1.0,0.945,1,6,19561928
IBest,1.0,0.972,1,10,19561929
IBest,1.0,0.931,1,8,19561930
IProb,0.001,0.9738,0,1000,19561831
IProb,0.001,0.9795,0,1000,19561832
IProb,0.001,0.9921,0,1000,19561833
IProb,0.001,0.9785,0,1000,19561834
IProb,0.001,0.9269,0,1000,19561835
IProb,0.001,0.9761,0,1000,19561836
IProb,0.001,0.9545,0,1000,19561837
IProb,0.001,0.9919,0,1000,19561838
IProb,0.001,0.9533,0,1000,19561839
IProb,0.001,0.9892,0,1000,19561840
IProb,0.001,0.9986,0,1000,19561841
IProb,0.001,0.9355,0,1000,19561842
IProb,0.001,0.9886,0,1000,19561843
IProb,0.001,0.9846,0,1000,19561844
IProb,0.001,0.9554,0,1000,19561845
IProb,0.001,0.9641,0,1000,19561846
IProb,0.001,0.938,0,1000,19561847
IProb,0.001,0.9613,0,1000,19561848
IProb,0.001,0.9376,0,1000,19561849
IProb,0.001,0.9705,0,1000,19561850
IProb,0.001,0.9983,0,1000,19561851
IProb,0.001,0.9812,0,1000,19561852
IProb,0.001,0.9538,0,1000,19561853
IProb,0.001,0.9537,0,1000,19561854
IProb,0.001,0.9542,0,1000,19561855
IProb,0.001,0.983,0,1000,19561856
IProb,0.001,0.9581,0,1000,19561857
IProb,0.001,0.9806,0,1000,19561858
IProb,0.001,0.9665,0,1000,19561859
IProb,0.001,0.9488,0,1000,19561860
IProb,0.001,0.9951,0,1000,19561861
IProb,0.001,0.9661,0,1000,19561862
IProb,0.001,0.9539,0,1000,19561863
IProb,0.001,0.9549,0,1000,19561864
IProb,0.001,0.9636,0,1000,19561865
IProb,0.001,0.9647,0,1000,19561866
IProb,0.001,0.9834,0,1000,19561867
IProb,0.001,0.9985,0,1000,19561868
IProb,0.001,0.9535,0,1000,19561869
IProb,0.001,0.9705,0,1000,19561870
IProb,0.001,0.9595,0,1000,19561871
IProb,0.001,0.9389,0,1000,19561872
IProb,0.001,0.9676,0,1000,19561873
IProb,0.001,0.9854,0,1000,19561874
IProb,0.001,0.9558,0,1000,19561875
IProb,0.001,0.9891,0,1000,19561876
IProb,0.001,0.9727,0,1000,19561877
IProb,0.001,0.9207,0,1000,19561878
IProb,0.001,0.9838,0,1000,19561879
IProb,0.001,0.9694,0,1000,19561880
IProb,0.001,0.9721,0,1000,19561881
IProb,0.001,0.9766,0,1000,19561882
IProb,0.001,0.9606,0,1000,19561883
