beta,stability,morality,cycle length,generation count,seed
0.125,1.0,0.049,1,7,19561867
0.125,1.0,0.013,1,5,19561868
0.125,1.0,0.013,1,4,19561869
0.125,1.0,0.006,1,5,19561870
0.125,1.0,0.007,1,4,19561871
0.125,1.0,0.014,1,5,19561872
0.125,1.0,0.0,1,3,19561873
0.125,1.0,0.009,1,6,19561874
0.125,1.0,0.006,1,6,19561875
0.125,1.0,0.0,1,4,19561876
0.125,1.0,0.013,1,4,19561877
0.125,1.0,0.0,1,6,19561878
0.125,1.0,0.013,1,5,19561879
0.125,1.0,0.0,1,3,19561880
0.125,1.0,0.015,1,6,19561881
0.125,1.0,0.007,1,5,19561882
0.125,1.0,0.029,1,8,19561883
0.125,1.0,0.006,1,4,19561884
0.125,1.0,0.022,1,4,19561885
0.125,1.0,0.0,1,4,19561886
0.125,1.0,0.008,1,4,19561887
0.125,1.0,0.0,1,5,19561888
0.125,1.0,0.006,1,4,19561889
0.125,1.0,0.0,1,5,19561890
0.125,1.0,0.026,1,5,19561891
0.125,1.0,0.005,1,4,19561892
0.125,1.0,0.006,1,4,19561893
0.125,1.0,0.011,1,5,19561894
0.125,1.0,0.0,1,4,19561895
0.125,1.0,0.0,1,4,19561896
0.125,1.0,0.006,1,7,19561897
0.125,1.0,0.029,1,4,19561898
0.125,1.0,0.006,1,5,19561899
0.125,1.0,0.006,1,4,19561900
0.125,1.0,0.014,1,4,19561901
0.125,1.0,0.007,1,4,19561902
0.125,1.0,0.006,1,3,19561903
0.125,1.0,0.0,1,4,19561904
0.125,1.0,0.014,1,4,19561905
0.125,1.0,0.007,1,5,19561906
0.125,1.0,0.0,1,3,19561907
0.125,1.0,0.02,1,5,19561908
0.125,1.0,0.01,1,5,19561909
0.125,1.0,0.0,1,5,19561910
0.125,1.0,0.0,1,4,19561911
0.125,1.0,0.02,1,5,19561912
0.125,1.0,0.0,1,5,19561913
0.125,1.0,0.021,1,4,19561914
0.125,1.0,0.0,1,7,19561915
0.125,1.0,0.0,1,3,19561916
0.125,1.0,0.006,1,4,19561917
0.125,1.0,0.027,1,4,19561918
0.125,1.0,0.014,1,4,19561919
0.125,1.0,0.008,1,4,19561920
0.125,1.0,0.012,1,5,19561921
0.125,1.0,0.021,1,4,19561922
0.125,1.0,0.008,1,4,19561923
0.125,1.0,0.022,1,4,19561924
0.125,1.0,0.0,1,3,19561925
0.125,1.0,0.0,1,4,19561926
0.125,1.0,0.0,1,4,19561927
0.125,1.0,0.007,1,4,19561928
0.125,1.0,0.005,1,4,19561929
0.125,1.0,0.015,1,7,19561930
0.18,1.0,0.021,1,6,19561831
0.18,1.0,0.0,1,3,19561832
