defection incentive,stability,morality,cycle length,generation count,seed
1.0,1.0,0.021,1,5,19561879
1.0,1.0,0.0,1,3,19561880
1.0,1.0,0.0,1,4,19561881
1.0,1.0,0.007,1,4,19561882
1.0,1.0,0.022,1,5,19561883
1.0,1.0,0.006,1,4,19561884
1.0,1.0,0.0,1,4,19561885
1.0,1.0,0.0,1,4,19561886
1.0,1.0,0.0,1,5,19561887
1.0,1.0,0.0,1,4,19561888
1.0,1.0,0.023,1,5,19561889
1.0,1.0,0.009,1,5,19561890
1.0,1.0,0.021,1,5,19561891
1.0,1.0,0.0,1,3,19561892
1.0,1.0,0.008,1,3,19561893
1.0,1.0,0.013,1,4,19561894
1.0,1.0,0.006,1,4,19561895
1.0,1.0,0.0,1,4,19561896
1.0,1.0,0.0,1,4,19561897
1.0,1.0,0.007,1,5,19561898
1.0,1.0,0.006,1,7,19561899
1.0,1.0,0.018,1,4,19561900
1.0,1.0,0.0,1,4,19561901
1.0,1.0,0.007,1,5,19561902
1.0,1.0,0.0,1,4,19561903
1.0,1.0,0.0,1,5,19561904
1.0,1.0,0.006,1,4,19561905
1.0,1.0,0.006,1,4,19561906
1.0,1.0,0.0,1,5,19561907
1.0,1.0,0.0,1,5,19561908
1.0,1.0,0.02,1,6,19561909
1.0,1.0,0.006,1,3,19561910
1.0,1.0,0.006,1,6,19561911
1.0,1.0,0.045,1,5,19561912
1.0,1.0,0.007,1,4,19561913
1.0,1.0,0.021,1,4,19561914
1.0,1.0,0.0,1,5,19561915
1.0,1.0,0.0,1,3,19561916
1.0,1.0,0.007,1,3,19561917
1.0,1.0,0.0,1,7,19561918
1.0,1.0,0.014,1,4,19561919
1.0,1.0,0.006,1,4,19561920
1.0,1.0,0.019,1,5,19561921
1.0,1.0,0.025,1,4,19561922
1.0,1.0,0.02,1,4,19561923
1.0,1.0,0.0,1,5,19561924
1.0,1.0,0.006,1,4,19561925
1.0,1.0,0.012,1,4,19561926
1.0,1.0,0.0,1,3,19561927
1.0,1.0,0.013,1,5,19561928
1.0,1.0,0.031,1,4,19561929
1.0,1.0,0.012,1,5,19561930
5.0,1.0,0.0,1,3,19561831
5.0,1.0,0.0,1,4,19561832
5.0,1.0,0.0,1,3,19561833
5.0,1.0,0.0,1,3,19561834
5.0,1.0,0.0,1,4,19561835
5.0,1.0,0.0,1,3,19561836
5.0,1.0,0.0,1,4,19561837
5.0,1.0,0.0,1,4,19561838
5.0,1.0,0.0,1,3,19561839
5.0,1.0,0.0,1,3,19561840
5.0,1.0,0.0,1,4,19561841
5.0,1.0,0.0,1,3,19561842
5.0,1.0,0.0,1,4,19561843
