initial moral mean,stability,morality,cycle length,generation count,seed
0.75,1.0,0.0303,1,8,19561872
0.75,0.5,0.0498,2,9,19561873
0.75,1.0,0.0195,1,10,19561874
0.75,1.0,0.0527,1,14,19561875
0.75,1.0,0.0225,1,11,19561876
0.75,0.5,0.0791,2,15,19561877
0.75,1.0,0.0,1,13,19561878
0.75,1.0,0.0547,1,9,19561879
0.75,1.0,0.1094,1,11,19561880
0.75,1.0,0.0342,1,12,19561881
0.75,1.0,0.0205,1,8,19561882
0.75,1.0,0.042,1,7,19561883
0.75,1.0,0.0684,1,17,19561884
0.75,1.0,0.0312,1,10,19561885
0.75,1.0,0.0107,1,10,19561886
0.75,1.0,0.0898,1,10,19561887
0.75,0.5,0.0,2,8,19561888
0.75,1.0,0.0205,1,10,19561889
0.75,0.5,0.1504,2,22,19561890
0.75,1.0,0.0547,1,8,19561891
0.75,1.0,0.042,1,8,19561892
0.75,1.0,0.0527,1,9,19561893
0.75,1.0,0.0361,1,9,19561894
0.75,1.0,0.0078,1,10,19561895
0.75,1.0,0.0,1,7,19561896
0.75,1.0,0.1182,1,13,19561897
0.75,1.0,0.0361,1,10,19561898
0.75,1.0,0.0625,1,9,19561899
0.75,0.5,0.0684,2,13,19561900
0.75,1.0,0.0508,1,10,19561901
0.75,1.0,0.0098,1,8,19561902
0.75,1.0,0.0127,1,7,19561903
0.75,1.0,0.0576,1,9,19561904
0.75,1.0,0.0117,1,10,19561905
0.75,1.0,0.0283,1,10,19561906
0.75,0.5,0.0361,2,8,19561907
0.75,1.0,0.0527,1,11,19561908
0.75,1.0,0.0,1,8,19561909
0.75,1.0,0.0,1,9,19561910
0.75,1.0,0.0547,1,12,19561911
0.75,1.0,0.085,1,11,19561912
0.75,1.0,0.0361,1,8,19561913
0.75,1.0,0.1201,1,14,19561914
0.75,1.0,0.0,1,9,19561915
0.75,1.0,0.042,1,10,19561916
0.75,1.0,0.1133,1,10,19561917
0.75,1.0,0.0107,1,11,19561918
0.75,1.0,0.0088,1,7,19561919
0.75,1.0,0.083,1,12,19561920
0.75,1.0,0.1328,1,12,19561921
0.75,1.0,0.0273,1,10,19561922
0.75,1.0,0.0107,1,8,19561923
0.75,1.0,0.0391,1,12,19561924
0.75,1.0,0.0293,1,9,19561925
0.75,1.0,0.0186,1,10,19561926
0.75,1.0,0.0811,1,12,19561927
0.75,1.0,0.0391,1,7,19561928
0.75,1.0,0.0254,1,11,19561929
0.75,1.0,0.0244,1,9,19561930
