learning rule,stability,morality,cycle length,generation count,seed
IProb,0.001,0.0006,0,1000,19561887
IProb,0.001,0.0006,0,1000,19561888
IProb,0.001,0.0013,0,1000,19561889
IProb,0.001,0.0002,0,1000,19561890
IProb,0.001,0.001,0,1000,19561891
IProb,0.001,0.0005,0,1000,19561892
IProb,0.001,0.0006,0,1000,19561893
IProb,0.001,0.0006,0,1000,19561894
IProb,0.001,0.0006,0,1000,19561895
IProb,0.001,0.0005,0,1000,19561896
IProb,0.001,0.0015,0,1000,19561897
IProb,0.001,0.0006,0,1000,19561898
IProb,0.001,0.0005,0,1000,19561899
IProb,0.001,0.0002,0,1000,19561900
IProb,0.001,0.0007,0,1000,19561901
IProb,0.001,0.0004,0,1000,19561902
IProb,0.001,0.0003,0,1000,19561903
IProb,0.001,0.0016,0,1000,19561904
IProb,0.001,0.0012,0,1000,19561905
IProb,0.001,0.001,0,1000,19561906
IProb,0.001,0.005,0,1000,19561907
IProb,0.001,0.0014,0,1000,19561908
IProb,0.001,0.0013,0,1000,19561909
IProb,0.001,0.0003,0,1000,19561910
IProb,0.001,0.0005,0,1000,19561911
IProb,0.001,0.0013,0,1000,19561912
IProb,0.001,0.0006,0,1000,19561913
IProb,0.001,0.0006,0,1000,19561914
IProb,0.001,0.0008,0,1000,19561915
IProb,0.001,0.0013,0,1000,19561916
IProb,0.001,0.0007,0,1000,19561917
IProb,0.001,0.0009,0,1000,19561918
IProb,0.001,0.0011,0,1000,19561919
IProb,0.001,0.0008,0,1000,19561920
IProb,0.001,0.0002,0,1000,19561921
IProb,0.001,0.0013,0,1000,19561922
IProb,0.001,0.0005,0,1000,19561923
IProb,0.001,0.001,0,1000,19561924
IProb,0.001,0.0015,0,1000,19561925
IProb,0.001,0.0009,0,1000,19561926
IProb,0.001,0.0012,0,1000,19561927
IProb,0.001,0.0005,0,1000,19561928
IProb,0.001,0.0003,0,1000,19561929
IProb,0.001,0.0017,0,1000,19561930
IAvg,0.25,0.0,4,23,19561831
IAvg,0.25,0.008,4,24,19561832
IAvg,0.0056,0.0,180,217,19561833
IAvg,0.25,0.016,4,23,19561834
IAvg,0.25,0.0,4,25,19561835
IAvg,0.25,0.0,4,21,19561836
IAvg,0.25,0.015,4,26,19561837
IAvg,0.25,0.0,4,25,19561838
IAvg,0.25,0.0,4,21,19561839
IAvg,0.25,0.007,4,28,19561840
IAvg,0.0833,0.0,12,27,19561841
IAvg,0.05,0.0,20,50,19561842
IAvg,0.0833,0.0,12,34,19561843
IAvg,0.25,0.008,4,24,19561844
IAvg,0.25,0.0,4,22,19561845
IAvg,0.125,0.022,8,26,19561846
IAvg,0.25,0.0,4,24,19561847
IAvg,0.0083,0.019,120,143,19561848
IAvg,0.25,0.014,4,25,19561849
IAvg,0.0833,0.0,12,43,19561850
IAvg,0.0833,0.023,12,33,19561851
IAvg,0.25,0.015,4,26,19561852
IAvg,0.0833,0.0,12,33,19561853
IAvg,0.25,0.0,4,18,19561854
IAvg,0.25,0.021,4,21,19561855
IAvg,0.25,0.0,4,23,19561856
IAvg,0.0833,0.016,12,33,19561857
IAvg,0.0417,0.008,24,40,19561858
IAvg,0.25,0.007,4,23,19561859
IAvg,0.25,0.0,4,25,19561860
IAvg,0.125,0.008,8,22,19561861
IAvg,0.0167,0.022,60,83,19561862
IAvg,0.25,0.0,4,39,19561863
IAvg,0.25,0.019,4,22,19561864
IAvg,0.25,0.008,4,23,19561865
IAvg,0.25,0.008,4,25,19561866
IAvg,0.05,0.015,20,51,19561867
IAvg,0.25,0.023,4,19,19561868
IAvg,0.0833,0.013,12,24,19561869
IAvg,0.25,0.007,4,19,19561870
IAvg,0.25,0.015,4,24,19561871
IAvg,0.25,0.0,4,22,19561872
IAvg,0.0167,0.027,60,77,19561873
IAvg,0.25,0.008,4,20,19561874
IAvg,0.25,0.023,4,24,19561875
IAvg,0.0833,0.022,12,33,19561876
IAvg,0.25,0.026,4,21,19561877
IAvg,0.0833,0.006,12,26,19561878
