population size,stability,morality,cycle length,generation count,seed
10000,0.5,0.2458,2,31,19561894
10000,0.5,0.2687,2,35,19561895
10000,0.5,0.2398,2,20,19561896
10000,0.5,0.2665,2,22,19561897
10000,0.5,0.2253,2,28,19561898
10000,0.5,0.2169,2,38,19561899
10000,0.5,0.4466,2,24,19561900
10000,0.5,0.1775,2,25,19561901
10000,0.5,0.3002,2,31,19561902
10000,0.5,0.2925,2,38,19561903
10000,0.5,0.2852,2,26,19561904
10000,0.5,0.2615,2,25,19561905
10000,0.5,0.3391,2,23,19561906
10000,0.5,0.2054,2,24,19561907
10000,0.5,0.1435,2,28,19561908
10000,0.5,0.3186,2,22,19561909
10000,0.5,0.3057,2,19,19561910
10000,0.5,0.262,2,25,19561911
10000,0.5,0.2961,2,27,19561912
10000,0.5,0.3528,2,20,19561913
10000,0.5,0.2491,2,20,19561914
10000,0.5,0.2169,2,22,19561915
10000,0.5,0.2791,2,19,19561916
10000,0.5,0.2357,2,31,19561917
10000,0.5,0.2596,2,30,19561918
10000,0.5,0.3105,2,28,19561919
10000,0.5,0.3081,2,28,19561920
10000,0.5,0.1327,2,14,19561921
10000,0.5,0.3463,2,17,19561922
10000,0.5,0.2724,2,15,19561923
10000,0.5,0.2188,2,18,19561924
10000,0.5,0.3477,2,32,19561925
10000,0.5,0.1127,2,27,19561926
10000,0.5,0.1557,2,23,19561927
10000,0.5,0.2265,2,20,19561928
10000,0.5,0.148,2,30,19561929
10000,0.5,0.199,2,30,19561930
