mutation probability,stability,morality,cycle length,generation count,seed
0.001,0.001,0.2145,0,1000,19561881
0.001,0.001,0.1359,0,1000,19561882
0.001,0.001,0.1738,0,1000,19561883
0.001,0.001,0.0971,0,1000,19561884
0.001,0.001,0.1314,0,1000,19561885
0.001,0.001,0.1441,0,1000,19561886
0.001,0.001,0.1296,0,1000,19561887
0.001,0.001,0.2166,0,1000,19561888
0.001,0.001,0.2747,0,1000,19561889
0.001,0.001,0.1772,0,1000,19561890
0.001,0.001,0.1724,0,1000,19561891
0.001,0.001,0.1809,0,1000,19561892
0.001,0.001,0.1237,0,1000,19561893
0.001,0.001,0.1725,0,1000,19561894
0.001,0.001,0.2366,0,1000,19561895
0.001,0.001,0.1702,0,1000,19561896
0.001,0.001,0.1905,0,1000,19561897
0.001,0.001,0.2298,0,1000,19561898
0.001,0.001,0.1294,0,1000,19561899
0.001,0.001,0.3681,0,1000,19561900
0.001,0.001,0.1408,0,1000,19561901
0.001,0.001,0.2476,0,1000,19561902
0.001,0.001,0.1847,0,1000,19561903
0.001,0.001,0.2202,0,1000,19561904
0.001,0.001,0.3154,0,1000,19561905
0.001,0.001,0.3587,0,1000,19561906
0.001,0.001,0.159,0,1000,19561907
0.001,0.001,0.0804,0,1000,19561908
0.001,0.001,0.2244,0,1000,19561909
0.001,0.001,0.3073,0,1000,19561910
0.001,0.001,0.1273,0,1000,19561911
0.001,0.001,0.166,0,1000,19561912
0.001,0.001,0.247,0,1000,19561913
0.001,0.001,0.2807,0,1000,19561914
0.001,0.001,0.1964,0,1000,19561915
0.001,0.001,0.1907,0,1000,19561916
0.001,0.001,0.1109,0,1000,19561917
0.001,0.001,0.2377,0,1000,19561918
0.001,0.001,0.3351,0,1000,19561919
0.001,0.001,0.2113,0,1000,19561920
0.001,0.001,0.1015,0,1000,19561921
0.001,0.001,0.2748,0,1000,19561922
0.001,0.001,0.2409,0,1000,19561923
0.001,0.001,0.1323,0,1000,19561924
0.001,0.001,0.185,0,1000,19561925
0.001,0.001,0.0734,0,1000,19561926
0.001,0.001,0.1383,0,1000,19561927
0.001,0.001,0.2071,0,1000,19561928
0.001,0.001,0.1278,0,1000,19561929
0.001,0.001,0.0785,0,1000,19561930
0.01,0.001,0.0634,0,1000,19561831
0.01,0.001,0.0977,0,1000,19561832
0.01,0.001,0.0563,0,1000,19561833
0.01,0.001,0.0579,0,1000,19561834
0.01,0.001,0.0494,0,1000,19561835
0.01,0.001,0.0715,0,1000,19561836
0.01,0.001,0.0829,0,1000,19561837
0.01,0.001,0.0807,0,1000,19561838
0.01,0.001,0.0559,0,1000,19561839
0.01,0.001,0.0923,0,1000,19561840
0.01,0.001,0.1538,0,1000,19561841
0.01,0.001,0.0049,0,1000,19561842
0.01,0.001,0.1274,0,1000,19561843
0.01,0.001,0.0272,0,1000,19561844
0.01,0.001,0.0794,0,1000,19561845
