neighborhood,stability,morality,cycle length,generation count,seed
4,0.5,0.03,2,18,19561896
4,0.5,0.147,2,10,19561897
4,1.0,0.087,1,9,19561898
4,0.5,0.019,2,13,19561899
4,0.5,0.268,2,22,19561900
4,1.0,0.126,1,8,19561901
4,0.5,0.093,2,12,19561902
4,0.5,0.122,2,14,19561903
4,0.5,0.224,2,10,19561904
4,0.5,0.25,2,16,19561905
4,0.5,0.234,2,22,19561906
4,0.5,0.135,2,11,19561907
4,1.0,0.0,1,8,19561908
4,0.5,0.122,2,11,19561909
4,0.5,0.197,2,13,19561910
4,0.5,0.037,2,17,19561911
4,0.5,0.108,2,16,19561912
4,1.0,0.195,1,11,19561913
4,0.5,0.115,2,10,19561914
4,0.5,0.097,2,9,19561915
4,1.0,0.048,1,14,19561916
4,0.5,0.06,2,11,19561917
4,1.0,0.095,1,10,19561918
4,0.5,0.209,2,11,19561919
4,0.5,0.111,2,15,19561920
4,0.5,0.038,2,18,19561921
4,0.5,0.198,2,12,19561922
4,0.5,0.049,2,17,19561923
4,1.0,0.014,1,10,19561924
4,0.5,0.382,2,16,19561925
4,0.5,0.05,2,9,19561926
4,0.5,0.062,2,9,19561927
4,0.5,0.103,2,14,19561928
4,1.0,0.095,1,12,19561929
4,0.5,0.057,2,12,19561930
