learning rule,stability,morality,cycle length,generation count,seed
IProb,0.001,0.1833,0,1000,19561920
IProb,0.001,0.111,0,1000,19561921
IProb,0.001,0.2721,0,1000,19561922
IProb,0.001,0.2432,0,1000,19561923
IProb,0.001,0.1156,0,1000,19561924
IProb,0.001,0.1483,0,1000,19561925
IProb,0.001,0.1053,0,1000,19561926
IProb,0.001,0.0694,0,1000,19561927
IProb,0.001,0.2094,0,1000,19561928
IProb,0.001,0.1332,0,1000,19561929
IProb,0.001,0.1978,0,1000,19561930
IAvg,0.5,0.204,2,22,19561831
IAvg,0.5,0.269,2,13,19561832
IAvg,0.5,0.154,2,16,19561833
IAvg,0.5,0.193,2,18,19561834
IAvg,0.25,0.1875,4,18,19561835
IAvg,0.5,0.334,2,14,19561836
IAvg,0.5,0.296,2,15,19561837
IAvg,0.5,0.261,2,22,19561838
IAvg,1.0,0.185,1,15,19561839
IAvg,0.5,0.345,2,14,19561840
IAvg,0.5,0.331,2,11,19561841
IAvg,0.5,0.016,2,13,19561842
IAvg,1.0,0.329,1,17,19561843
IAvg,0.5,0.141,2,16,19561844
IAvg,0.5,0.147,2,12,19561845
IAvg,0.5,0.269,2,18,19561846
IAvg,0.5,0.225,2,17,19561847
IAvg,1.0,0.238,1,12,19561848
IAvg,0.5,0.296,2,17,19561849
IAvg,1.0,0.194,1,16,19561850
IAvg,0.5,0.274,2,18,19561851
IAvg,1.0,0.165,1,14,19561852
IAvg,1.0,0.124,1,15,19561853
IAvg,1.0,0.191,1,15,19561854
IAvg,0.5,0.284,2,14,19561855
IAvg,0.5,0.23,2,27,19561856
IAvg,0.5,0.238,2,14,19561857
IAvg,0.5,0.117,2,16,19561858
IAvg,0.5,0.174,2,15,19561859
IAvg,1.0,0.121,1,15,19561860
IAvg,0.5,0.266,2,13,19561861
IAvg,0.5,0.175,2,14,19561862
IAvg,1.0,0.206,1,16,19561863
IAvg,0.5,0.272,2,12,19561864
IAvg,0.5,0.24,2,13,19561865
IAvg,0.5,0.276,2,23,19561866
IAvg,1.0,0.185,1,12,19561867
IAvg,1.0,0.16,1,19,19561868
IAvg,0.5,0.093,2,11,19561869
IAvg,0.5,0.443,2,21,19561870
IAvg,0.5,0.405,2,18,19561871
IAvg,1.0,0.238,1,35,19561872
