mutation distance,stability,morality,cycle length,generation count,seed
1,0.001,0.9289,0,1000,19561930
2,0.001,0.7024,0,1000,19561831
2,0.001,0.7058,0,1000,19561832
2,0.001,0.7026,0,1000,19561833
2,0.001,0.7077,0,1000,19561834
2,0.001,0.711,0,1000,19561835
2,0.001,0.7153,0,1000,19561836
2,0.001,0.7104,0,1000,19561837
2,0.001,0.71,0,1000,19561838
2,0.001,0.7054,0,1000,19561839
2,0.001,0.7041,0,1000,19561840
2,0.001,0.7086,0,1000,19561841
2,0.001,0.7076,0,1000,19561842
2,0.001,0.7001,0,1000,19561843
2,0.001,0.7075,0,1000,19561844
2,0.001,0.7042,0,1000,19561845
2,0.001,0.7004,0,1000,19561846
2,0.001,0.7071,0,1000,19561847
2,0.001,0.7084,0,1000,19561848
2,0.001,0.7032,0,1000,19561849
2,0.001,0.7118,0,1000,19561850
2,0.001,0.7083,0,1000,19561851
2,0.001,0.7029,0,1000,19561852
2,0.001,0.7032,0,1000,19561853
2,0.001,0.7056,0,1000,19561854
2,0.001,0.7077,0,1000,19561855
2,0.001,0.7036,0,1000,19561856
2,0.001,0.7022,0,1000,19561857
2,0.001,0.7073,0,1000,19561858
2,0.001,0.7032,0,1000,19561859
2,0.001,0.702,0,1000,19561860
2,0.001,0.7118,0,1000,19561861
2,0.001,0.7061,0,1000,19561862
2,0.001,0.7037,0,1000,19561863
2,0.001,0.7043,0,1000,19561864
2,0.001,0.7074,0,1000,19561865
2,0.001,0.7085,0,1000,19561866
2,0.001,0.7049,0,1000,19561867
2,0.001,0.7085,0,1000,19561868
2,0.001,0.7067,0,1000,19561869
2,0.001,0.7021,0,1000,19561870
2,0.001,0.705,0,1000,19561871
2,0.001,0.7068,0,1000,19561872
2,0.001,0.7039,0,1000,19561873
2,0.001,0.7057,0,1000,19561874
2,0.001,0.7045,0,1000,19561875
2,0.001,0.7085,0,1000,19561876
2,0.001,0.7056,0,1000,19561877
2,0.001,0.703,0,1000,19561878
2,0.001,0.7153,0,1000,19561879
2,0.001,0.7022,0,1000,19561880
2,0.001,0.7038,0,1000,19561881
2,0.001,0.7107,0,1000,19561882
