mutation probability,stability,morality,cycle length,generation count,seed
0.01,0.001,0.9671,0,1000,19561835
0.01,0.001,0.9695,0,1000,19561836
0.01,0.001,0.9563,0,1000,19561837
0.01,0.001,0.9663,0,1000,19561838
0.01,0.001,0.9663,0,1000,19561839
0.01,0.001,0.9652,0,1000,19561840
0.01,0.001,0.9691,0,1000,19561841
0.01,0.001,0.964,0,1000,19561842
0.01,0.001,0.9687,0,1000,19561843
0.01,0.001,0.9666,0,1000,19561844
0.01,0.001,0.9578,0,1000,19561845
0.01,0.001,0.9655,0,1000,19561846
0.01,0.001,0.9694,0,1000,19561847
0.01,0.001,0.959,0,1000,19561848
0.01,0.001,0.9629,0,1000,19561849
0.01,0.001,0.9581,0,1000,19561850
0.01,0.001,0.9676,0,1000,19561851
0.01,0.001,0.9714,0,1000,19561852
0.01,0.001,0.9687,0,1000,19561853
0.01,0.001,0.9628,0,1000,19561854
0.01,0.001,0.9643,0,1000,19561855
0.01,0.001,0.9611,0,1000,19561856
0.01,0.001,0.9728,0,1000,19561857
0.01,0.001,0.9708,0,1000,19561858
0.01,0.001,0.9761,0,1000,19561859
0.01,0.001,0.9692,0,1000,19561860
0.01,0.001,0.9653,0,1000,19561861
0.01,0.001,0.9715,0,1000,19561862
0.01,0.001,0.9737,0,1000,19561863
0.01,0.001,0.9637,0,1000,19561864
0.01,0.001,0.9665,0,1000,19561865
0.01,0.001,0.9635,0,1000,19561866
0.01,0.001,0.9624,0,1000,19561867
0.01,0.001,0.9702,0,1000,19561868
0.01,0.001,0.963,0,1000,19561869
0.01,0.001,0.9675,0,1000,19561870
0.01,0.001,0.9704,0,1000,19561871
0.01,0.001,0.9667,0,1000,19561872
0.01,0.001,0.9584,0,1000,19561873
0.01,0.001,0.9748,0,1000,19561874
0.01,0.001,0.9685,0,1000,19561875
0.01,0.001,0.9661,0,1000,19561876
0.01,0.001,0.961,0,1000,19561877
0.01,0.001,0.9661,0,1000,19561878
0.01,0.001,0.9735,0,1000,19561879
0.01,0.001,0.9668,0,1000,19561880
0.01,0.001,0.9656,0,1000,19561881
0.01,0.001,0.9653,0,1000,19561882
0.01,0.001,0.972,0,1000,19561883
0.01,0.001,0.956,0,1000,19561884
0.01,0.001,0.9766,0,1000,19561885
0.01,0.001,0.9669,0,1000,19561886
0.01,0.001,0.9706,0,1000,19561887
0.01,0.001,0.9681,0,1000,19561888
0.01,0.001,0.96,0,1000,19561889
0.01,0.001,0.9722,0,1000,19561890
0.01,0.001,0.9731,0,1000,19561891
0.01,0.001,0.9559,0,1000,19561892
0.01,0.001,0.9555,0,1000,19561893
0.01,0.001,0.9641,0,1000,19561894
0.01,0.001,0.9696,0,1000,19561895
0.01,0.001,0.9672,0,1000,19561896
0.01,0.001,0.9656,0,1000,19561897
0.01,0.001,0.9701,0,1000,19561898
0.01,0.001,0.9646,0,1000,19561899
0.01,0.001,0.9631,0,1000,19561900
0.01,0.001,0.9586,0,1000,19561901
0.01,0.001,0.9673,0,1000,19561902
0.01,0.001,0.9641,0,1000,19561903
0.01,0.001,0.9607,0,1000,19561904
0.01,0.001,0.9694,0,1000,19561905
0.01,0.001,0.9712,0,1000,19561906
0.01,0.001,0.9597,0,1000,19561907
0.01,0.001,0.9687,0,1000,19561908
0.01,0.001,0.9725,0,1000,19561909
0.01,0.001,0.9641,0,1000,19561910
0.01,0.001,0.9686,0,1000,19561911
0.01,0.001,0.9641,0,1000,19561912
0.01,0.001,0.9621,0,1000,19561913
0.01,0.001,0.9672,0,1000,19561914
0.01,0.001,0.9701,0,1000,19561915
0.01,0.001,0.9601,0,1000,19561916
0.01,0.001,0.9643,0,1000,19561917
0.01,0.001,0.9639,0,1000,19561918
0.01,0.001,0.9657,0,1000,19561919
0.01,0.001,0.959,0,1000,19561920
0.01,0.001,0.9656,0,1000,19561921
0.01,0.001,0.9671,0,1000,19561922
0.01,0.001,0.9653,0,1000,19561923
0.01,0.001,0.9615,0,1000,19561924
0.01,0.001,0.968,0,1000,19561925
0.01,0.001,0.955,0,1000,19561926
0.01,0.001,0.9553,0,1000,19561927
0.01,0.001,0.9631,0,1000,19561928
0.01,0.001,0.9633,0,1000,19561929
0.01,0.001,0.9721,0,1000,19561930
0.1,0.001,0.8213,0,1000,19561831
0.1,0.001,0.8236,0,1000,19561832
0.1,0.001,0.8201,0,1000,19561833
0.1,0.001,0.8165,0,1000,19561834
0.1,0.001,0.8198,0,1000,19561835
0.1,0.001,0.8223,0,1000,19561836
0.1,0.001,0.8096,0,1000,19561837
0.1,0.001,0.8244,0,1000,19561838
0.1,0.001,0.8119,0,1000,19561839
0.1,0.001,0.8205,0,1000,19561840
0.1,0.001,0.8284,0,1000,19561841
0.1,0.001,0.8244,0,1000,19561842
0.1,0.001,0.8099,0,1000,19561843
0.1,0.001,0.821,0,1000,19561844
0.1,0.001,0.817,0,1000,19561845
0.1,0.001,0.8288,0,1000,19561846
0.1,0.001,0.8201,0,1000,19561847
0.1,0.001,0.8223,0,1000,19561848
0.1,0.001,0.8226,0,1000,19561849
0.1,0.001,0.8218,0,1000,19561850
0.1,0.001,0.8211,0,1000,19561851
0.1,0.001,0.8225,0,1000,19561852
0.1,0.001,0.8192,0,1000,19561853
0.1,0.001,0.8188,0,1000,19561854
0.1,0.001,0.8169,0,1000,19561855
0.1,0.001,0.8112,0,1000,19561856
0.1,0.001,0.8249,0,1000,19561857
0.1,0.001,0.8281,0,1000,19561858
0.1,0.001,0.8226,0,1000,19561859
0.1,0.001,0.8221,0,1000,19561860
