learning rule,stability,morality,cycle length,generation count,seed
BestR,0.5,0.3035,2,19,19561835
BestR,0.5,0.346,2,7,19561836
BestR,0.5,0.323,2,9,19561837
BestR,0.5,0.143,2,11,19561838
BestR,0.5,0.454,2,5,19561839
BestR,0.5,0.3335,2,9,19561840
BestR,0.5,0.281,2,7,19561841
BestR,0.5,0.377,2,7,19561842
BestR,0.5,0.2995,2,9,19561843
BestR,0.5,0.2745,2,5,19561844
BestR,0.5,0.3125,2,11,19561845
BestR,0.5,0.1985,2,11,19561846
BestR,0.5,0.305,2,11,19561847
BestR,0.5,0.3615,2,7,19561848
BestR,0.5,0.244,2,6,19561849
BestR,0.5,0.2735,2,13,19561850
BestR,0.5,0.2065,2,11,19561851
BestR,0.5,0.2735,2,9,19561852
BestR,0.5,0.3935,2,7,19561853
BestR,0.5,0.2805,2,9,19561854
BestR,0.5,0.2005,2,11,19561855
BestR,0.5,0.354,2,9,19561856
BestR,0.5,0.265,2,7,19561857
BestR,0.5,0.341,2,9,19561858
BestR,0.5,0.282,2,9,19561859
BestR,0.5,0.403,2,7,19561860
BestR,0.5,0.552,2,5,19561861
BestR,0.5,0.3575,2,7,19561862
BestR,0.5,0.3355,2,9,19561863
BestR,0.5,0.27,2,7,19561864
BestR,0.5,0.1545,2,11,19561865
BestR,0.5,0.3275,2,7,19561866
BestR,0.5,0.3795,2,7,19561867
BestR,0.5,0.335,2,9,19561868
BestR,0.5,0.3655,2,9,19561869
BestR,0.5,0.181,2,5,19561870
BestR,0.5,0.226,2,7,19561871
BestR,0.5,0.354,2,9,19561872
BestR,0.5,0.264,2,9,19561873
BestR,0.5,0.2645,2,7,19561874
BestR,0.5,0.2965,2,9,19561875
BestR,0.5,0.327,2,7,19561876
BestR,0.5,0.279,2,9,19561877
BestR,0.5,0.238,2,9,19561878
BestR,0.5,0.356,2,7,19561879
BestR,0.5,0.2145,2,17,19561880
BestR,0.5,0.276,2,13,19561881
BestR,0.5,0.3095,2,7,19561882
BestR,0.5,0.3305,2,9,19561883
BestR,0.5,0.2255,2,13,19561884
BestR,0.5,0.3365,2,11,19561885
BestR,0.5,0.306,2,13,19561886
BestR,0.5,0.197,2,8,19561887
BestR,0.5,0.608,2,7,19561888
BestR,0.5,0.289,2,7,19561889
BestR,0.5,0.3555,2,9,19561890
BestR,0.5,0.29,2,9,19561891
BestR,0.5,0.3275,2,7,19561892
BestR,0.5,0.2675,2,7,19561893
BestR,0.5,0.2615,2,9,19561894
BestR,0.5,0.2275,2,7,19561895
BestR,0.5,0.2955,2,7,19561896
BestR,0.5,0.2295,2,11,19561897
BestR,0.5,0.326,2,7,19561898
BestR,0.5,0.291,2,9,19561899
BestR,0.5,0.213,2,5,19561900
BestR,0.5,0.2485,2,9,19561901
BestR,0.5,0.1415,2,10,19561902
BestR,0.5,0.235,2,7,19561903
