population size,stability,morality,cycle length,generation count,seed
1000,1.0,1.0,1,21,19561857
1000,1.0,1.0,1,18,19561858
1000,1.0,1.0,1,19,19561859
1000,1.0,1.0,1,17,19561860
1000,1.0,1.0,1,8,19561861
1000,1.0,1.0,1,21,19561862
1000,1.0,1.0,1,20,19561863
1000,1.0,1.0,1,20,19561864
1000,1.0,1.0,1,36,19561865
1000,1.0,1.0,1,24,19561866
1000,1.0,1.0,1,16,19561867
1000,1.0,1.0,1,26,19561868
1000,1.0,1.0,1,13,19561869
1000,1.0,1.0,1,15,19561870
1000,1.0,1.0,1,17,19561871
1000,1.0,1.0,1,20,19561872
1000,1.0,1.0,1,13,19561873
1000,1.0,1.0,1,18,19561874
1000,1.0,1.0,1,16,19561875
1000,1.0,1.0,1,22,19561876
1000,1.0,1.0,1,14,19561877
1000,1.0,1.0,1,26,19561878
1000,1.0,1.0,1,16,19561879
1000,1.0,1.0,1,23,19561880
1000,1.0,1.0,1,21,19561881
1000,1.0,1.0,1,14,19561882
1000,1.0,1.0,1,18,19561883
1000,1.0,1.0,1,25,19561884
1000,1.0,1.0,1,10,19561885
1000,1.0,1.0,1,30,19561886
1000,1.0,1.0,1,35,19561887
1000,1.0,1.0,1,7,19561888
1000,1.0,1.0,1,18,19561889
1000,1.0,1.0,1,16,19561890
1000,1.0,1.0,1,14,19561891
1000,1.0,1.0,1,13,19561892
1000,1.0,1.0,1,32,19561893
1000,1.0,1.0,1,24,19561894
1000,1.0,1.0,1,23,19561895
1000,1.0,1.0,1,27,19561896
1000,1.0,1.0,1,24,19561897
1000,1.0,1.0,1,17,19561898
1000,1.0,1.0,1,16,19561899
1000,1.0,1.0,1,14,19561900
1000,1.0,1.0,1,19,19561901
1000,1.0,1.0,1,43,19561902
1000,1.0,1.0,1,19,19561903
1000,1.0,1.0,1,13,19561904
1000,1.0,1.0,1,17,19561905
1000,1.0,1.0,1,21,19561906
1000,1.0,1.0,1,17,19561907
1000,1.0,1.0,1,26,19561908
1000,1.0,1.0,1,17,19561909
1000,1.0,1.0,1,16,19561910
1000,1.0,1.0,1,16,19561911
1000,1.0,1.0,1,21,19561912
1000,1.0,1.0,1,29,19561913
1000,1.0,1.0,1,31,19561914
1000,1.0,1.0,1,13,19561915
1000,1.0,1.0,1,16,19561916
1000,1.0,1.0,1,17,19561917
1000,1.0,1.0,1,25,19561918
1000,1.0,1.0,1,24,19561919
1000,1.0,1.0,1,20,19561920
1000,1.0,1.0,1,18,19561921
1000,1.0,1.0,1,22,19561922
1000,1.0,1.0,1,18,19561923
1000,1.0,1.0,1,19,19561924
1000,1.0,1.0,1,16,19561925
1000,1.0,1.0,1,23,19561926
1000,1.0,1.0,1,13,19561927
1000,1.0,1.0,1,21,19561928
1000,1.0,1.0,1,13,19561929
1000,1.0,1.0,1,12,19561930
10000,1.0,1.0,1,35,19561831
10000,1.0,1.0,1,26,19561832
10000,1.0,1.0,1,15,19561833
10000,1.0,1.0,1,34,19561834
10000,1.0,1.0,1,32,19561835
10000,1.0,1.0,1,26,19561836
10000,1.0,1.0,1,21,19561837
10000,1.0,1.0,1,69,19561838
10000,1.0,1.0,1,18,19561839
10000,1.0,1.0,1,21,19561840
10000,1.0,1.0,1,24,19561841
10000,1.0,1.0,1,20,19561842
10000,1.0,1.0,1,23,19561843
10000,1.0,1.0,1,21,19561844
10000,1.0,1.0,1,20,19561845
10000,1.0,1.0,1,48,19561846
10000,1.0,1.0,1,25,19561847
10000,1.0,1.0,1,24,19561848
10000,1.0,1.0,1,26,19561849
10000,1.0,1.0,1,26,19561850
10000,1.0,1.0,1,53,19561851
10000,1.0,1.0,1,24,19561852
10000,1.0,1.0,1,25,19561853
10000,1.0,1.0,1,44,19561854
10000,1.0,1.0,1,49,19561855
10000,1.0,1.0,1,23,19561856
10000,1.0,1.0,1,30,19561857
10000,1.0,1.0,1,23,19561858
10000,1.0,1.0,1,28,19561859
10000,1.0,1.0,1,17,19561860
10000,1.0,1.0,1,21,19561861
10000,1.0,1.0,1,24,19561862
10000,1.0,1.0,1,23,19561863
10000,1.0,1.0,1,34,19561864
10000,1.0,1.0,1,50,19561865
10000,1.0,1.0,1,28,19561866
10000,1.0,1.0,1,24,19561867
10000,1.0,1.0,1,26,19561868
10000,1.0,1.0,1,26,19561869
10000,1.0,1.0,1,37,19561870
10000,1.0,1.0,1,24,19561871
10000,1.0,1.0,1,23,19561872
10000,1.0,1.0,1,21,19561873
10000,1.0,1.0,1,35,19561874
10000,1.0,1.0,1,40,19561875
10000,1.0,1.0,1,19,19561876
10000,1.0,1.0,1,43,19561877
10000,1.0,1.0,1,42,19561878
10000,1.0,1.0,1,26,19561879
10000,1.0,1.0,1,39,19561880
10000,1.0,1.0,1,26,19561881
10000,1.0,1.0,1,20,19561882
10000,1.0,1.0,1,26,19561883
10000,1.0,1.0,1,38,19561884
10000,1.0,1.0,1,20,19561885
10000,1.0,1.0,1,30,19561886
10000,1.0,1.0,1,51,19561887
10000,1.0,1.0,1,12,19561888
10000,1.0,1.0,1,40,19561889
10000,1.0,1.0,1,23,19561890
10000,1.0,1.0,1,24,19561891
10000,1.0,1.0,1,21,19561892
10000,1.0,1.0,1,32,19561893
