edge probability,stability,morality,cycle length,generation count,seed
0.012,1.0,1.0,1,4,19561918
0.012,1.0,1.0,1,5,19561919
0.012,1.0,1.0,1,5,19561920
0.012,1.0,1.0,1,4,19561921
0.012,1.0,1.0,1,5,19561922
0.012,1.0,1.0,1,5,19561923
0.012,1.0,1.0,1,3,19561924
0.012,1.0,1.0,1,5,19561925
0.012,1.0,1.0,1,5,19561926
0.012,1.0,1.0,1,4,19561927
0.012,1.0,1.0,1,6,19561928
0.012,1.0,1.0,1,4,19561929
0.012,1.0,1.0,1,4,19561930
