learning rule,stability,morality,cycle length,generation count,seed
IBest,0.5,0.1435,2,13,19561889
IBest,1.0,0.245,1,11,19561890
IBest,0.5,0.1675,2,14,19561891
IBest,0.5,0.266,2,21,19561892
IBest,1.0,0.178,1,14,19561893
IBest,0.5,0.2945,2,19,19561894
IBest,0.5,0.214,2,11,19561895
IBest,1.0,0.129,1,12,19561896
IBest,1.0,0.196,1,14,19561897
IBest,1.0,0.26,1,13,19561898
IBest,1.0,0.352,1,10,19561899
IBest,0.3333,0.1903,3,18,19561900
IBest,0.5,0.208,2,12,19561901
IBest,0.5,0.044,2,11,19561902
IBest,0.5,0.1555,2,11,19561903
IBest,1.0,0.246,1,21,19561904
IBest,1.0,0.193,1,12,19561905
IBest,1.0,0.212,1,13,19561906
IBest,0.5,0.1305,2,10,19561907
IBest,0.5,0.314,2,14,19561908
IBest,0.5,0.016,2,14,19561909
IBest,1.0,0.29,1,10,19561910
IBest,0.5,0.2155,2,15,19561911
IBest,1.0,0.378,1,15,19561912
IBest,0.5,0.254,2,16,19561913
IBest,0.5,0.1705,2,14,19561914
IBest,1.0,0.113,1,10,19561915
IBest,0.5,0.1565,2,17,19561916
IBest,1.0,0.286,1,14,19561917
IBest,0.5,0.139,2,11,19561918
IBest,0.5,0.156,2,11,19561919
IBest,0.5,0.0885,2,13,19561920
IBest,1.0,0.099,1,12,19561921
IBest,1.0,0.177,1,17,19561922
IBest,0.5,0.1935,2,12,19561923
IBest,0.5,0.309,2,14,19561924
IBest,1.0,0.245,1,11,19561925
IBest,0.5,0.26,2,13,19561926
IBest,0.5,0.1645,2,15,19561927
IBest,0.5,0.202,2,12,19561928
IBest,0.5,0.085,2,13,19561929
IBest,0.5,0.161,2,14,19561930
IProb,0.001,0.1565,0,1000,19561831
IProb,0.001,0.3456,0,1000,19561832
IProb,0.001,0.1382,0,1000,19561833
IProb,0.001,0.3239,0,1000,19561834
IProb,0.001,0.1495,0,1000,19561835
IProb,0.001,0.1479,0,1000,19561836
IProb,0.001,0.0217,0,1000,19561837
IProb,0.001,0.0896,0,1000,19561838
IProb,0.001,0.2602,0,1000,19561839
IProb,0.001,0.1119,0,1000,19561840
IProb,0.001,0.0751,0,1000,19561841
IProb,0.001,0.0302,0,1000,19561842
IProb,0.001,0.2379,0,1000,19561843
IProb,0.001,0.085,0,1000,19561844
IProb,0.001,0.3593,0,1000,19561845
IProb,0.001,0.0369,0,1000,19561846
IProb,0.001,0.1163,0,1000,19561847
IProb,0.001,0.0948,0,1000,19561848
IProb,0.001,0.0269,0,1000,19561849
IProb,0.001,0.1083,0,1000,19561850
IProb,0.001,0.1115,0,1000,19561851
IProb,0.001,0.0622,0,1000,19561852
IProb,0.001,0.0356,0,1000,19561853
IProb,0.001,0.1655,0,1000,19561854
IProb,0.001,0.0376,0,1000,19561855
IProb,0.001,0.0842,0,1000,19561856
IProb,0.001,0.2378,0,1000,19561857
IProb,0.001,0.102,0,1000,19561858
IProb,0.001,0.0887,0,1000,19561859
IProb,0.001,0.0568,0,1000,19561860
IProb,0.001,0.1441,0,1000,19561861
IProb,0.001,0.217,0,1000,19561862
IProb,0.001,0.282,0,1000,19561863
IProb,0.001,0.0956,0,1000,19561864
IProb,0.001,0.0649,0,1000,19561865
IProb,0.001,0.0561,0,1000,19561866
IProb,0.001,0.0352,0,1000,19561867
IProb,0.001,0.1958,0,1000,19561868
IProb,0.001,0.053,0,1000,19561869
IProb,0.001,0.2135,0,1000,19561870
IProb,0.001,0.0738,0,1000,19561871
IProb,0.001,0.0376,0,1000,19561872
IProb,0.001,0.0275,0,1000,19561873
IProb,0.001,0.1406,0,1000,19561874
IProb,0.001,0.0553,0,1000,19561875
IProb,0.001,0.2975,0,1000,19561876
IProb,0.001,0.1604,0,1000,19561877
IProb,0.001,0.0309,0,1000,19561878
IProb,0.001,0.1953,0,1000,19561879
IProb,0.001,0.0771,0,1000,19561880
IProb,0.001,0.1688,0,1000,19561881
IProb,0.001,0.1377,0,1000,19561882
