population size,stability,morality,cycle length,generation count,seed
10000,0.25,0.1229,4,23,19561872
10000,0.1667,0.2974,6,25,19561873
10000,0.0167,0.2962,60,86,19561874
10000,0.25,0.2157,4,20,19561875
10000,0.1667,0.2356,6,22,19561876
10000,0.125,0.2258,8,25,19561877
10000,0.1667,0.11,6,19,19561878
10000,0.1667,0.4042,6,20,19561879
10000,0.25,0.2334,4,22,19561880
10000,0.25,0.1101,4,19,19561881
10000,0.5,0.3844,2,19,19561882
10000,0.25,0.3549,4,22,19561883
10000,0.5,0.2059,2,22,19561884
10000,0.5,0.1351,2,14,19561885
10000,0.1667,0.1729,6,25,19561886
10000,0.25,0.2139,4,18,19561887
10000,0.0333,0.2007,30,46,19561888
10000,0.25,0.2318,4,20,19561889
10000,0.5,0.1606,2,15,19561890
10000,0.5,0.1578,2,20,19561891
10000,0.125,0.1953,8,24,19561892
10000,0.5,0.3471,2,18,19561893
10000,0.5,0.1095,2,17,19561894
10000,0.25,0.3417,4,22,19561895
10000,0.25,0.1154,4,20,19561896
10000,0.25,0.2162,4,18,19561897
10000,0.1667,0.1679,6,21,19561898
10000,0.5,0.1479,2,22,19561899
10000,0.5,0.1393,2,21,19561900
10000,0.5,0.2654,2,17,19561901
10000,0.25,0.109,4,23,19561902
10000,0.25,0.2066,4,19,19561903
10000,0.25,0.1842,4,20,19561904
10000,0.25,0.1502,4,20,19561905
10000,0.25,0.1799,4,19,19561906
10000,0.5,0.1154,2,17,19561907
10000,0.5,0.2858,2,18,19561908
10000,0.0417,0.0804,24,39,19561909
10000,0.5,0.1333,2,17,19561910
10000,0.125,0.2067,8,23,19561911
10000,0.25,0.1898,4,18,19561912
10000,0.5,0.0479,2,14,19561913
10000,0.5,0.1857,2,16,19561914
10000,0.25,0.2056,4,19,19561915
10000,0.5,0.191,2,20,19561916
10000,0.5,0.1238,2,18,19561917
10000,0.25,0.2438,4,22,19561918
10000,0.5,0.1414,2,19,19561919
10000,0.25,0.1498,4,19,19561920
10000,0.5,0.1135,2,19,19561921
10000,0.5,0.2167,2,17,19561922
10000,0.25,0.2671,4,19,19561923
10000,0.0833,0.1182,12,29,19561924
10000,0.25,0.1974,4,20,19561925
10000,0.5,0.1959,2,24,19561926
10000,0.5,0.3368,2,16,19561927
10000,0.0833,0.1905,12,28,19561928
10000,0.5,0.1578,2,17,19561929
10000,0.0833,0.3432,12,32,19561930
