mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.232,1,15,19561886
0.0,0.5,0.267,2,15,19561887
0.0,0.5,0.132,2,14,19561888
0.0,0.5,0.3285,2,14,19561889
0.0,1.0,0.308,1,17,19561890
0.0,0.5,0.158,2,17,19561891
0.0,0.5,0.2435,2,13,19561892
0.0,1.0,0.137,1,12,19561893
0.0,0.5,0.225,2,21,19561894
0.0,1.0,0.215,1,10,19561895
0.0,0.5,0.1775,2,10,19561896
0.0,0.5,0.154,2,13,19561897
0.0,1.0,0.236,1,13,19561898
0.0,1.0,0.266,1,10,19561899
0.0,0.5,0.228,2,17,19561900
0.0,0.5,0.239,2,13,19561901
0.0,1.0,0.1,1,11,19561902
0.0,0.5,0.184,2,11,19561903
0.0,0.1667,0.2967,6,17,19561904
0.0,1.0,0.231,1,10,19561905
0.0,0.5,0.1865,2,11,19561906
0.0,0.5,0.1645,2,16,19561907
0.0,0.5,0.4065,2,19,19561908
0.0,0.5,0.111,2,11,19561909
0.0,0.5,0.319,2,15,19561910
0.0,0.5,0.216,2,14,19561911
0.0,0.5,0.2905,2,13,19561912
0.0,0.5,0.1895,2,15,19561913
0.0,0.5,0.1705,2,12,19561914
0.0,0.5,0.0975,2,17,19561915
0.0,0.5,0.2555,2,16,19561916
0.0,0.5,0.262,2,14,19561917
0.0,0.5,0.087,2,11,19561918
0.0,0.5,0.15,2,14,19561919
0.0,1.0,0.098,1,15,19561920
0.0,1.0,0.135,1,10,19561921
0.0,0.5,0.3515,2,12,19561922
0.0,0.5,0.2015,2,12,19561923
0.0,0.5,0.3225,2,14,19561924
0.0,1.0,0.096,1,11,19561925
0.0,0.25,0.2325,4,16,19561926
0.0,0.5,0.1745,2,14,19561927
0.0,0.5,0.258,2,11,19561928
0.0,1.0,0.146,1,11,19561929
0.0,1.0,0.089,1,10,19561930
0.001,0.001,0.2054,0,1000,19561831
0.001,0.001,0.3138,0,1000,19561832
0.001,0.001,0.0776,0,1000,19561833
0.001,0.001,0.3662,0,1000,19561834
0.001,0.001,0.1554,0,1000,19561835
0.001,0.001,0.1407,0,1000,19561836
0.001,0.001,0.058,0,1000,19561837
0.001,0.001,0.2177,0,1000,19561838
0.001,0.001,0.306,0,1000,19561839
0.001,0.001,0.1544,0,1000,19561840
0.001,0.001,0.1466,0,1000,19561841
0.001,0.001,0.0899,0,1000,19561842
0.001,0.001,0.2192,0,1000,19561843
0.001,0.001,0.1294,0,1000,19561844
0.001,0.001,0.2196,0,1000,19561845
0.001,0.001,0.1027,0,1000,19561846
0.001,0.001,0.2735,0,1000,19561847
0.001,0.001,0.167,0,1000,19561848
0.001,0.001,0.1162,0,1000,19561849
0.001,0.001,0.1348,0,1000,19561850
0.001,0.001,0.1075,0,1000,19561851
0.001,0.001,0.0819,0,1000,19561852
0.001,0.001,0.1154,0,1000,19561853
0.001,0.001,0.1739,0,1000,19561854
0.001,0.001,0.0908,0,1000,19561855
0.001,0.001,0.2243,0,1000,19561856
0.001,0.001,0.1735,0,1000,19561857
0.001,0.001,0.1198,0,1000,19561858
0.001,0.001,0.2261,0,1000,19561859
0.001,0.001,0.1565,0,1000,19561860
0.001,0.001,0.1065,0,1000,19561861
0.001,0.001,0.1643,0,1000,19561862
0.001,0.001,0.2988,0,1000,19561863
0.001,0.001,0.1916,0,1000,19561864
0.001,0.001,0.1245,0,1000,19561865
0.001,0.001,0.0632,0,1000,19561866
0.001,0.001,0.0673,0,1000,19561867
0.001,0.001,0.1568,0,1000,19561868
0.001,0.001,0.0953,0,1000,19561869
0.001,0.001,0.2075,0,1000,19561870
0.001,0.001,0.0808,0,1000,19561871
0.001,0.001,0.1029,0,1000,19561872
0.001,0.001,0.1157,0,1000,19561873
0.001,0.001,0.1459,0,1000,19561874
0.001,0.001,0.0753,0,1000,19561875
0.001,0.001,0.218,0,1000,19561876
0.001,0.001,0.1328,0,1000,19561877
0.001,0.001,0.0844,0,1000,19561878
0.001,0.001,0.2209,0,1000,19561879
0.001,0.001,0.1037,0,1000,19561880
0.001,0.001,0.2744,0,1000,19561881
0.001,0.001,0.1717,0,1000,19561882
0.001,0.001,0.026,0,1000,19561883
0.001,0.001,0.0343,0,1000,19561884
0.001,0.001,0.1161,0,1000,19561885
0.001,0.001,0.0796,0,1000,19561886
0.001,0.001,0.26,0,1000,19561887
