neighborhood,stability,morality,cycle length,generation count,seed
4,1.0,0.0,1,7,19561858
4,1.0,0.0,1,9,19561859
4,1.0,0.0,1,9,19561860
4,1.0,0.038,1,9,19561861
4,1.0,0.043,1,10,19561862
4,1.0,0.056,1,9,19561863
4,1.0,0.012,1,6,19561864
4,1.0,0.04,1,9,19561865
4,0.5,0.0,2,13,19561866
4,1.0,0.042,1,9,19561867
4,1.0,0.03,1,11,19561868
4,1.0,0.0,1,9,19561869
4,1.0,0.023,1,9,19561870
4,1.0,0.044,1,7,19561871
4,1.0,0.045,1,9,19561872
4,1.0,0.0,1,14,19561873
4,1.0,0.0,1,14,19561874
4,1.0,0.054,1,10,19561875
4,1.0,0.045,1,7,19561876
4,1.0,0.012,1,9,19561877
4,1.0,0.026,1,8,19561878
4,1.0,0.029,1,13,19561879
4,1.0,0.0,1,10,19561880
4,1.0,0.013,1,8,19561881
4,1.0,0.011,1,9,19561882
4,1.0,0.0,1,9,19561883
4,0.5,0.0275,2,10,19561884
4,1.0,0.024,1,7,19561885
4,0.5,0.0,2,10,19561886
4,1.0,0.068,1,12,19561887
4,1.0,0.01,1,8,19561888
4,1.0,0.0,1,7,19561889
4,1.0,0.079,1,12,19561890
4,1.0,0.054,1,9,19561891
4,1.0,0.069,1,12,19561892
4,1.0,0.0,1,9,19561893
4,1.0,0.0,1,8,19561894
4,1.0,0.03,1,11,19561895
4,1.0,0.049,1,8,19561896
4,1.0,0.077,1,10,19561897
4,1.0,0.0,1,8,19561898
4,0.5,0.0,2,10,19561899
4,0.5,0.012,2,11,19561900
4,1.0,0.011,1,8,19561901
4,1.0,0.031,1,9,19561902
4,1.0,0.033,1,8,19561903
4,1.0,0.037,1,10,19561904
4,1.0,0.026,1,8,19561905
4,1.0,0.013,1,8,19561906
4,1.0,0.014,1,8,19561907
4,0.5,0.085,2,15,19561908
4,1.0,0.022,1,9,19561909
4,1.0,0.0,1,7,19561910
4,1.0,0.0,1,8,19561911
4,1.0,0.046,1,9,19561912
4,1.0,0.038,1,9,19561913
4,1.0,0.0,1,11,19561914
4,1.0,0.045,1,13,19561915
4,0.5,0.046,2,11,19561916
4,1.0,0.016,1,11,19561917
4,1.0,0.029,1,9,19561918
4,1.0,0.052,1,15,19561919
4,1.0,0.013,1,8,19561920
4,1.0,0.016,1,11,19561921
4,1.0,0.03,1,8,19561922
4,1.0,0.057,1,11,19561923
4,1.0,0.0,1,8,19561924
4,1.0,0.012,1,8,19561925
4,1.0,0.0,1,8,19561926
4,1.0,0.012,1,7,19561927
4,0.5,0.0,2,12,19561928
4,1.0,0.023,1,8,19561929
4,1.0,0.034,1,11,19561930
