beta,stability,morality,cycle length,generation count,seed
0.125,1.0,0.182,1,11,19561897
0.125,0.5,0.4025,2,12,19561898
0.125,0.5,0.245,2,13,19561899
0.125,0.5,0.251,2,15,19561900
0.125,1.0,0.198,1,13,19561901
0.125,0.5,0.1365,2,14,19561902
0.125,0.0714,0.2475,14,30,19561903
0.125,0.5,0.298,2,19,19561904
0.125,1.0,0.202,1,12,19561905
0.125,1.0,0.136,1,11,19561906
0.125,0.5,0.216,2,13,19561907
0.125,0.5,0.33,2,14,19561908
0.125,0.5,0.0775,2,10,19561909
0.125,0.5,0.3065,2,17,19561910
0.125,0.5,0.192,2,16,19561911
0.125,0.5,0.2445,2,14,19561912
0.125,0.5,0.143,2,15,19561913
0.125,0.5,0.1835,2,14,19561914
0.125,1.0,0.192,1,13,19561915
0.125,0.5,0.2575,2,15,19561916
0.125,0.5,0.321,2,14,19561917
0.125,0.5,0.107,2,11,19561918
0.125,0.5,0.179,2,25,19561919
0.125,0.25,0.0955,4,15,19561920
0.125,1.0,0.049,1,12,19561921
0.125,0.5,0.2795,2,11,19561922
0.125,0.5,0.2915,2,11,19561923
0.125,0.5,0.276,2,14,19561924
0.125,0.5,0.245,2,11,19561925
0.125,0.5,0.2245,2,14,19561926
0.125,0.5,0.208,2,17,19561927
0.125,1.0,0.22,1,12,19561928
0.125,0.5,0.143,2,12,19561929
0.125,1.0,0.209,1,14,19561930
0.18,1.0,0.203,1,13,19561831
0.18,0.1667,0.2402,6,15,19561832
0.18,0.5,0.2485,2,18,19561833
0.18,0.5,0.132,2,14,19561834
0.18,1.0,0.092,1,11,19561835
0.18,1.0,0.115,1,13,19561836
0.18,0.25,0.1827,4,23,19561837
0.18,0.25,0.221,4,17,19561838
0.18,0.5,0.0525,2,18,19561839
0.18,0.5,0.3765,2,12,19561840
0.18,0.5,0.123,2,15,19561841
0.18,0.5,0.1695,2,13,19561842
0.18,0.5,0.051,2,10,19561843
0.18,0.5,0.1835,2,13,19561844
0.18,0.5,0.39,2,14,19561845
0.18,1.0,0.09,1,13,19561846
0.18,0.5,0.248,2,11,19561847
0.18,0.5,0.1475,2,13,19561848
0.18,1.0,0.145,1,13,19561849
0.18,0.5,0.1065,2,17,19561850
0.18,0.5,0.074,2,13,19561851
0.18,0.5,0.037,2,12,19561852
0.18,1.0,0.176,1,11,19561853
0.18,0.5,0.272,2,17,19561854
0.18,0.5,0.1,2,14,19561855
0.18,0.5,0.3145,2,14,19561856
0.18,1.0,0.158,1,15,19561857
0.18,0.5,0.1065,2,14,19561858
0.18,0.5,0.052,2,11,19561859
0.18,1.0,0.382,1,14,19561860
0.18,0.5,0.273,2,18,19561861
0.18,0.5,0.4165,2,17,19561862
0.18,0.5,0.163,2,12,19561863
0.18,1.0,0.091,1,11,19561864
0.18,0.25,0.091,4,18,19561865
0.18,0.5,0.189,2,20,19561866
0.18,0.5,0.1135,2,12,19561867
0.18,1.0,0.041,1,11,19561868
0.18,1.0,0.115,1,12,19561869
0.18,0.5,0.2555,2,14,19561870
0.18,0.5,0.2445,2,13,19561871
0.18,0.5,0.2145,2,16,19561872
0.18,0.5,0.2075,2,11,19561873
0.18,1.0,0.261,1,11,19561874
0.18,1.0,0.143,1,17,19561875
0.18,0.5,0.1985,2,16,19561876
0.18,0.5,0.146,2,12,19561877
0.18,0.5,0.2305,2,20,19561878
0.18,0.5,0.3095,2,15,19561879
0.18,0.5,0.1685,2,14,19561880
0.18,0.5,0.092,2,12,19561881
0.18,0.5,0.3165,2,14,19561882
0.18,0.5,0.1905,2,13,19561883
0.18,1.0,0.103,1,15,19561884
0.18,1.0,0.132,1,11,19561885
0.18,0.5,0.114,2,13,19561886
0.18,0.25,0.438,4,18,19561887
0.18,0.5,0.291,2,20,19561888
0.18,0.5,0.156,2,13,19561889
0.18,0.5,0.2155,2,13,19561890
0.18,0.5,0.076,2,13,19561891
0.18,0.5,0.01,2,10,19561892
0.18,1.0,0.088,1,17,19561893
0.18,1.0,0.186,1,12,19561894
0.18,1.0,0.223,1,11,19561895
0.18,0.5,0.132,2,14,19561896
0.18,0.5,0.291,2,14,19561897
0.18,0.5,0.1245,2,14,19561898
0.18,0.5,0.24,2,12,19561899
0.18,0.5,0.2605,2,15,19561900
0.18,0.5,0.3255,2,15,19561901
0.18,1.0,0.231,1,11,19561902
0.18,0.5,0.12,2,16,19561903
0.18,0.5,0.164,2,17,19561904
0.18,0.5,0.1065,2,14,19561905
0.18,1.0,0.058,1,10,19561906
0.18,0.5,0.157,2,14,19561907
0.18,0.25,0.3317,4,15,19561908
0.18,1.0,0.122,1,13,19561909
0.18,0.5,0.0555,2,13,19561910
0.18,0.5,0.1925,2,13,19561911
0.18,0.5,0.31,2,15,19561912
0.18,0.5,0.113,2,17,19561913
0.18,1.0,0.167,1,14,19561914
0.18,1.0,0.154,1,17,19561915
0.18,0.5,0.215,2,16,19561916
0.18,1.0,0.131,1,14,19561917
0.18,0.5,0.233,2,14,19561918
0.18,1.0,0.197,1,14,19561919
0.18,0.5,0.2305,2,14,19561920
0.18,1.0,0.11,1,10,19561921
0.18,0.5,0.225,2,14,19561922
0.18,1.0,0.074,1,15,19561923
0.18,1.0,0.183,1,17,19561924
0.18,1.0,0.37,1,15,19561925
0.18,0.5,0.279,2,12,19561926
0.18,1.0,0.278,1,13,19561927
0.18,0.5,0.2145,2,13,19561928
0.18,0.5,0.156,2,19,19561929
0.18,1.0,0.096,1,10,19561930
0.28,0.5,0.1085,2,13,19561831
0.28,0.5,0.2035,2,14,19561832
0.28,0.5,0.253,2,14,19561833
0.28,0.5,0.1035,2,16,19561834
0.28,0.25,0.1125,4,16,19561835
0.28,0.5,0.2665,2,15,19561836
0.28,1.0,0.099,1,12,19561837
0.28,1.0,0.351,1,13,19561838
0.28,1.0,0.233,1,15,19561839
0.28,1.0,0.076,1,19,19561840
0.28,1.0,0.096,1,15,19561841
0.28,0.5,0.1285,2,11,19561842
0.28,0.25,0.153,4,16,19561843
0.28,0.5,0.2045,2,13,19561844
0.28,0.5,0.1745,2,14,19561845
0.28,0.5,0.054,2,11,19561846
0.28,0.5,0.1465,2,19,19561847
0.28,0.5,0.0955,2,10,19561848
0.28,1.0,0.156,1,17,19561849
0.28,0.5,0.1605,2,18,19561850
0.28,1.0,0.052,1,18,19561851
0.28,1.0,0.189,1,15,19561852
0.28,0.5,0.292,2,13,19561853
0.28,0.5,0.264,2,14,19561854
0.28,0.5,0.1105,2,15,19561855
0.28,0.5,0.062,2,13,19561856
0.28,1.0,0.153,1,11,19561857
0.28,1.0,0.195,1,17,19561858
0.28,1.0,0.171,1,12,19561859
0.28,0.5,0.13,2,18,19561860
0.28,0.5,0.209,2,22,19561861
0.28,0.5,0.033,2,11,19561862
0.28,1.0,0.373,1,15,19561863
0.28,0.5,0.161,2,13,19561864
0.28,0.5,0.029,2,14,19561865
0.28,0.25,0.0545,4,17,19561866
0.28,0.5,0.1995,2,15,19561867
0.28,1.0,0.145,1,14,19561868
0.28,0.5,0.136,2,13,19561869
0.28,0.5,0.169,2,17,19561870
0.28,1.0,0.136,1,13,19561871
0.28,0.5,0.247,2,15,19561872
0.28,1.0,0.292,1,12,19561873
0.28,0.1,0.2398,10,22,19561874
0.28,0.5,0.228,2,13,19561875
0.28,1.0,0.234,1,15,19561876
0.28,0.5,0.155,2,21,19561877
0.28,0.5,0.048,2,13,19561878
0.28,1.0,0.268,1,11,19561879
0.28,1.0,0.024,1,13,19561880
0.28,0.5,0.149,2,12,19561881
0.28,0.3333,0.4207,3,18,19561882
0.28,1.0,0.089,1,10,19561883
0.28,0.5,0.2025,2,18,19561884
0.28,0.5,0.4435,2,15,19561885
0.28,0.5,0.09,2,15,19561886
0.28,0.25,0.068,4,14,19561887
0.28,1.0,0.092,1,12,19561888
0.28,0.5,0.1055,2,17,19561889
0.28,1.0,0.134,1,12,19561890
0.28,0.25,0.2238,4,16,19561891
0.28,0.5,0.173,2,12,19561892
0.28,0.5,0.086,2,28,19561893
0.28,0.25,0.04,4,14,19561894
0.28,0.5,0.0955,2,14,19561895
0.28,1.0,0.215,1,10,19561896
0.28,0.25,0.1113,4,13,19561897
0.28,1.0,0.062,1,12,19561898
0.28,1.0,0.511,1,15,19561899
0.28,0.5,0.337,2,14,19561900
0.28,1.0,0.066,1,12,19561901
0.28,0.25,0.153,4,20,19561902
0.28,0.25,0.1192,4,14,19561903
0.28,1.0,0.119,1,13,19561904
0.28,0.5,0.2795,2,22,19561905
0.28,0.25,0.17,4,16,19561906
0.28,0.5,0.125,2,11,19561907
0.28,0.5,0.054,2,13,19561908
0.28,0.5,0.0985,2,16,19561909
0.28,1.0,0.023,1,12,19561910
0.28,0.5,0.2435,2,13,19561911
0.28,0.5,0.134,2,15,19561912
0.28,1.0,0.067,1,13,19561913
0.28,1.0,0.142,1,16,19561914
0.28,1.0,0.007,1,11,19561915
0.28,0.25,0.2707,4,34,19561916
0.28,0.5,0.025,2,11,19561917
0.28,0.5,0.2385,2,11,19561918
0.28,1.0,0.192,1,13,19561919
0.28,0.5,0.129,2,12,19561920
0.28,1.0,0.11,1,14,19561921
0.28,0.25,0.319,4,16,19561922
0.28,0.5,0.1655,2,16,19561923
0.28,1.0,0.194,1,12,19561924
0.28,0.5,0.168,2,14,19561925
0.28,0.5,0.082,2,16,19561926
0.28,1.0,0.14,1,9,19561927
0.28,0.1667,0.2383,6,24,19561928
0.28,0.5,0.2475,2,13,19561929
0.28,0.25,0.147,4,15,19561930
